tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
93869	400.0	40.0	4455.0	21.0	2.0	Mate in 2	https://lichess.org/analysis/r7/N1k5/Qp3b2/1P1p2pp/2r5/3n4/5PPP/4R1K1_w_-_-	Mate in 2	9	4	2
114860	400.0	40.15	4045.0	14.0	1.0	Mate in 1	https://lichess.org/analysis/r1r5/p1n1k1p1/3p1p1p/2pR4/5B2/8/PPP2PPP/4R1K1_b_-_-	Mate in 1	9	4	2
136192	402.0	42.41	5203.0	24.0	1.0	Mate in 1	https://lichess.org/analysis/r3k2r/1bqpbppp/p7/3P4/1p1pP1n1/3BB3/1PP2PPP/RN1Q1RK1_w_kq_-	Mate in 1	8	5	2
32741	723.0	43.81	51093.0	34.0	1.0	Vulnerable King	https://lichess.org/analysis/1r5k/3p1Bbp/6p1/3Qr3/P7/2P5/4qPKP/3R3R_w_-_-	Vulnerable King	15	17	3
87233	400.0	40.18	12654.0	19.0	1.0	Mate in 1	https://lichess.org/analysis/r3r2k/1p2bQq1/p3R3/3p4/3Bn1Pn/7P/PP3PB1/R5K1_b_-_-	Mate in 1	8	11	2
40171	2833.0	42.68	3710.0	64.0	4.0	Pawn Promotion,Underpromotion	https://lichess.org/analysis/r7/5P2/2P5/8/R7/7k/8/5K2_b_-_-	Underpromotion	4	4	18
171726	422.0	40.98	23211.0	22.0	1.0	Mate in 1	https://lichess.org/analysis/r5r1/p2k1p2/5B2/1p1R4/4P3/2Pp1P2/6P1/R3K3_b_Q_-	Mate in 1	17	12	2
81655	400.0	41.13	30530.0	32.0	2.0	Discovered Attack	https://lichess.org/analysis/5k2/5p1p/8/Q7/pP2PP2/1b4P1/2r5/2K5_w_-_-	Discovered Attack	18	12	2
58248	967.0	45.17	56071.0	59.0	2.0	Pin	https://lichess.org/analysis/r1bqk1nr/ppp2ppp/2np4/3Np3/QbP5/5N2/PP1PPPPP/R1B1KB1R_b_KQkq_-	Pin	1	17	15
79121	404.0	40.0	4384.0	18.0	1.0	Mate in 1	https://lichess.org/analysis/q3k1r1/3p1p1p/4p1p1/8/6r1/2Q5/5PPP/3R1R1K_w_-_-	Mate in 1	9	4	2
49215	424.0	40.0	4194.0	42.0	3.0	Mate in 3+	https://lichess.org/analysis/7k/2p3rr/p7/2P5/P2Qp2P/2P1P1B1/4qP1K/6R1_b_-_-	Mate in 3+	9	10	2
38751	932.0	43.8	52593.0	57.0	2.0	Fork / Double Attack	https://lichess.org/analysis/2kr1b1r/ppnqpp2/2p1bp2/8/2PPN2p/PQ2B2P/1P2BP2/R3K2R_b_KQ_-	Fork / Double Attack	14	17	7
35581	2150.0	44.68	26096.0	132.0	2.0	Attacking f7/f2,Attacking Castled King,Overloading,Pin	https://lichess.org/analysis/4r1k1/ppqr1ppp/2p3n1/2b1pNPQ/4P3/1BP2RP1/PP3PK1/R7_b_-_-	Attacking f7/f2	4	1	20
134734	576.0	41.56	38761.0	19.0	1.0	Attacking f7/f2,Mate in 2	https://lichess.org/analysis/rnbqkbnr/ppp1p3/5p1p/6p1/2BPP3/1QN2N1P/PP3PP1/R1B1K2R_b_KQkq_-	Attacking f7/f2	16	19	1
96785	1645.0	45.08	51462.0	50.0	3.0	Attacking Castled King,Basic Checkmates,Hanging Piece,Mate in 3+,Mating Net,Vulnerable King	https://lichess.org/analysis/r4rk1/ppp2p1p/8/5Qpq/3Pp3/PPP3BP/4R1PK/R7_b_-_-	Attacking Castled King	5	9	20
134006	673.0	42.56	39887.0	25.0	1.0	Hanging Piece,Mating Net,Remove the Defender	https://lichess.org/analysis/4r2k/pp6/2p2Pp1/7q/3P1b2/1Q6/PP2r1RP/6RK_w_-_-	Remove the Defender	16	19	2
70067	1536.0	45.28	52353.0	16.0	1.0	Mate in 1,Pin	https://lichess.org/analysis/5rk1/pb4bp/2qPp1p1/4B3/1pP3P1/1P1pQ2P/P4N2/R4K2_w_-_-	Pin	5	9	11
166630	400.0	40.3	8610.0	38.0	1.0	Mate in 1	https://lichess.org/analysis/r7/pp4kp/5rp1/2P2p2/NP6/P2Bb1qP/1QN5/R6K_w_-_-	Mate in 1	8	5	2
37951	1569.0	44.97	42391.0	42.0	1.0	Defense,En passant	https://lichess.org/analysis/2r1k1nr/1p3ppb/p3p2p/P2pP3/RbqN1PPP/2N1B3/1PP2K2/3Q3R_b_k_-	En passant	4	9	10
58505	1231.0	46.28	65191.0	31.0	1.0	Hanging Piece	https://lichess.org/analysis/2k2b1r/pppr1ppp/8/4Q3/q3n3/1PP4P/P2N1PP1/R1B1K2R_b_KQ_-	Hanging Piece	5	7	13
34149	1080.0	45.85	64006.0	51.0	2.0	Attacking Castled King,Mating Net	https://lichess.org/analysis/2rq1rk1/pp2bpnp/4b1pQ/3pB3/2nP4/2NB1N1P/PP3PP1/3RR1K1_b_-_-	Attacking Castled King	2	6	14
50137	400.0	40.32	6536.0	12.0	1.0	Mate in 1	https://lichess.org/analysis/3kN3/pp4pp/2p5/8/5n2/3P3q/PPP2P2/R3QKR1_w_-_-	Mate in 1	9	5	2
142991	668.0	41.6	31660.0	36.0	2.0	Fork / Double Attack,Hanging Piece	https://lichess.org/analysis/3rq3/p4pk1/n5pp/1p1P4/2p2Q2/P4B2/1P3PPP/3R2K1_b_-_-	Hanging Piece	17	12	2
80010	737.0	43.02	43373.0	17.0	1.0	Hanging Piece	https://lichess.org/analysis/rnbqkbnr/p1p2ppp/1p6/3pp3/8/2PP2P1/PP2PPBP/RNBQK1NR_b_KQkq_-	Hanging Piece	16	19	3
104752	418.0	40.57	19285.0	39.0	2.0	Mate in 2	https://lichess.org/analysis/3R3k/5Bp1/5p2/1rn2P1p/7P/p1n4K/1p3P2/8_b_-_-	Mate in 2	8	12	2
42737	661.0	43.74	31820.0	44.0	1.0	Hanging Piece	https://lichess.org/analysis/r1r3k1/p4p1p/Qp1Rp1p1/4P1P1/1P3P1K/P7/5B1P/3q1B2_b_-_-	Hanging Piece	17	13	2
