tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	full
62960	698	43.29	37380	76	4	Mate in 3+	https://lichess.org/analysis/r4k2/2p2pp1/3p3p/3P4/1P1QP3/3P3P/1R3PPK/2q5_w_-_-	Mate in 3+	17	31. g3 Ra1 32. Rb1 Rxb1 33. Qxg7+ Kxg7 34. Kg2 Qh1#
38043	1764	45.01	40890	59	2	Defense,Fork / Double Attack,Hanging Piece,Zwischenzug	https://lichess.org/analysis/r3k2r/pp4pp/3qp1b1/5p2/3N2Q1/1P1nB3/P4PPP/R4K1R_w_kq_-	Zwischenzug	4	21. Nb5 Qe5 22. Bd4 Qxb5
101326	411	40.15	4729	31	2	Mate in 2	https://lichess.org/analysis/5r1k/6pp/2p5/R7/p1bPp3/P3P3/3B1rPP/4R1K1_w_-_-	Mate in 2	8	29. Rxa4 Rf1+ 30. Rxf1 Rxf1#
106609	430	40.33	9036	45	1	Mate in 1	https://lichess.org/analysis/rk6/1p4rp/p3Bbq1/2NPp3/8/1QP4P/P4PP1/R4RK1_w_-_-	Mate in 1	8	29. Bg8 Qxg2#
122709	400	40.0	4262	14	1	Mate in 1	https://lichess.org/analysis/r4r2/1bq1nNpk/p3P3/1ppn3Q/P2P4/2P5/1P4PP/R4RK1_b_-_-	Mate in 1	9	24. ... Kg8 25. Qh8#
147797	400	40.0	4568	9	1	Mate in 1	https://lichess.org/analysis/r1b1k2r/ppp2ppp/2p4q/8/3b1P2/3N2P1/PPP3P1/RNBQ1R1K_w_kq_-	Mate in 1	9	12. Qh5 Qxh5#
54523	409	40.21	4316	50	3	Mate in 3+	https://lichess.org/analysis/1kr5/ppp1qpQ1/5n2/3r3p/3Pp3/n3P3/2PBN1PP/1NKR1R2_w_-_-	Mate in 3+	9	24. Nxa3 Qxa3+ 25. Kb1 Rb5+ 26. Bb4 Rxb4#
34505	633	43.3	34671	29	1	Hanging Piece	https://lichess.org/analysis/1B2r1k1/1b3pq1/8/1p5Q/1PpbpR2/7P/6P1/1R5K_b_-_-	Hanging Piece	15	36. ... Re5 37. Bxe5
118596	683	41.34	31021	52	2	Mate in 2	https://lichess.org/analysis/1r3rk1/3p3p/2b3pQ/1pn1p3/1P2P3/5qP1/1BP4P/R2R2K1_w_-_-	Mate in 2	17	24. Bxe5 Qf2+ 25. Kh1 Bxe4#
102961	682	41.05	31566	38	1	Mate in 1	https://lichess.org/analysis/1Rb3k1/8/p2p1pp1/3P4/PN1p1P1K/2r5/8/8_w_-_-	Mate in 1	16	39. Nc6 Rh3#
173767	2033	44.89	31020	54	4	Back Rank,Decoy / Deflection,Defense,Discovered Attack,Interference,Mate in 3+,Mating Net,Pin	https://lichess.org/analysis/8/1R6/3p2pk/1p3p1p/1P5P/P3R1P1/rb6/3r1N1K_w_-_-	Interference	4	46. Ree7 Bg7 47. Re2 Rxe2 48. Kg1 Bd4+ 49. Kh1 Rxf1#
116634	1774	45.09	46121	99	5	Back Rank,Decoy / Deflection,Overloading,Pin,Queen Sacrifice,Skewer,Zugzwang	https://lichess.org/analysis/5r1k/6bp/b2P1qp1/1Nn1p3/1pB5/8/P1P2PPP/R2QR1K1_w_-_-	Zugzwang	5	23. Qd5 Qxf2+ 24. Kh1 Bb7 25. Rf1 Qxf1+ 26. Rxf1 Rxf1+ 27. Bxf1 Bxd5
66318	584	40.43	28764	23	1	Mate in 1	https://lichess.org/analysis/7k/pp4bp/2p3p1/8/1P1P4/2Q3p1/P1NB3q/5K2_w_-_-	Mate in 1	16	30. Ne1 Qf2#
47741	410	40.6	20471	36	2	Fork / Double Attack	https://lichess.org/analysis/5bk1/3Q3p/pq6/1p4p1/2rP4/5P2/5PPP/3R2K1_b_-_-	Fork / Double Attack	17	34. ... b4 35. Qd5+ Kg7 36. Qxc4
65134	2079	44.98	20938	85	4	Attacking Castled King,Basic Checkmates,Mate in 3+,Mating Net,Pin,Clearance Sacrifice	https://lichess.org/analysis/rnbq1rk1/pppp1pp1/1n5p/3Np3/2BbP1Q1/1P1P4/P1P2PPP/R1B2RK1_b_-_-	Clearance Sacrifice	4	10. ... Bxa1 11. Bxh6 g6 12. Ne7+ Qxe7 13. Qxg6+ Kh8 14. Qg7#
64756	400	40.0	4307	26	1	Mate in 1	https://lichess.org/analysis/rn2r1k1/pp3pp1/3p1b2/4q2p/6Q1/2P4N/PP1BBPPP/R3K2R_w_KQ_h6	Mate in 1	9	16. Qg3 Qxe2#
42737	661	43.74	31820	44	1	Hanging Piece	https://lichess.org/analysis/r1r3k1/p4p1p/Qp1Rp1p1/4P1P1/1P3P1K/P7/5B1P/3q1B2_b_-_-	Hanging Piece	17	32. ... Rc3 33. Rxd1
143572	1832	44.93	41828	55	1	Hanging Piece	https://lichess.org/analysis/r3k1nr/pp4pp/n3b3/1N3pB1/3bp2P/P5P1/4PP2/2R1KBNR_b_Kkq_-	Hanging Piece	4	14. ... Kf7 15. Nxd4
54368	1627	45.0	53241	51	2	Decoy / Deflection,Fork / Double Attack,Vulnerable King,Zugzwang	https://lichess.org/analysis/5R1k/p2qp2p/6p1/2p1b3/2Bn4/P1NP3P/1r4P1/3Q2K1_b_-_-	Zugzwang	5	23. ... Kg7 24. Rg8+ Kh6 25. Qc1+
45772	411	40.0	5439	40	1	Mate in 1	https://lichess.org/analysis/3rk2r/1pp1n1pp/p1p2p2/4b3/4P1b1/1P3N2/PBP2PPP/RN2K2R_w_KQk_-	Mate in 1	8	11. Nxe5 Rd1#
30191	1275	45.49	60177	26	2	Attacking Castled King,Basic Checkmates,Mate in 2	https://lichess.org/analysis/3rq2k/p1R2R1p/4p1p1/4b3/4N3/P4QP1/1r3P1P/6K1_b_-_-	Attacking Castled King	5	34. ... Bxc7 35. Qf6+ Kg8 36. Qg7#
35615	2521	44.65	9620	120	5	Mate in 3+	https://lichess.org/analysis/5r1k/3r4/p6N/1p2p2P/4N3/b2p2R1/P4P2/1K4R1_b_-_-	Mate in 3+	4	34. ... Rd4 35. Rg8+ Kh7 36. R1g7+ Kxh6 37. Rg6+ Kxh5 38. Ng3+ Kh4 39. Rh6#
147725	420	40.31	17633	66	3	Mate in 3+	https://lichess.org/analysis/8/pbq5/1p2prk1/2p2pp1/2P3P1/3QPP1P/P5Kb/3R1R2_w_-_-	Mate in 3+	8	34. Rd2 Qg3+ 35. Kh1 Bxf3+ 36. Rxf3 Qg1#
47688	400	40.39	4672	35	1	Mate in 1	https://lichess.org/analysis/7Q/4bkpp/5p2/2R5/3n1q2/7P/PP3PP1/4R1K1_b_-_-	Mate in 1	9	27. ... Bxc5 28. Qe8#
160664	412	40.0	5441	20	1	Mate in 1	https://lichess.org/analysis/2b2rk1/5pp1/2p5/1p1p1n1q/3PpPn1/1Q4P1/1BPN1PB1/5RK1_w_-_-	Mate in 1	8	24. f3 Qh2#
